boy|9140
context|524
schema|213
type|16502
footbridge|9724
target|2386
query|251
input|13837
use|2098
strict|1923
page|1493
showcase|4800
female|26552
male|11976
converse|1797
star|3662
replace|5025
boot|7847
set|2195
i|792
underwear|504
blouse|3417
product|10067
spy|2070
sprite|1475
display|25311
block|17220
header|38567
store|2941
font|42323
size|25217
line|8961
height|45555
right|36233
box|33572
label|8832
hover|26669
decoration|7235
underline|1931
icon|8106
footer|15779
selected|990
small|5185
nova|1750
background|53348
banner|3143
repeat|6250
position|21181
body|5899
form|1366
margin|53028
opacity|7504
pagination|2490
loading|1058
search|4110
disabled|14983
place|380
sub|11601
menu|48917
profile|4688
list|14473
desire|1065
registration|364
get|2250
login|1232
none|24144
content|60092
color|64127
index|6467
fixed|7670
transition|31576
ease|31081
relative|6075
padding|34183
important|16341
self|13750
border|43279
align|11352
center|8119
shadow|13795
left|56337
child|21956
bottom|25134
solid|15296
seta|874
transparent|8356
weight|10381
arrow|5449
welcome|1456
span|8616
cursor|4405
pointer|3341
radius|9050
register|662
last|9939
little|471
absolute|6893
style|8153
normal|2398
linha|798
warning|7698
family|3278
sans|1746
serif|1619
italic|2257
linear|9899
gradient|11730
outline|2310
inherit|3243
smoothing|654
transform|12292
main|28775
active|17824
men|4007
sport|7163
outlet|13919
abas|5239
aba|2913
woman|2874
horizontal|6500
institutional|419
premium|316
news|7477
div|2459
brand|6532
letter|855
spacing|844
title|3636
free|1312
para|5092
brazil|2060
method|388
sac|296
chat|1498
frequent|303
load|1776
click|3940
fast|1158
delay|1911
central|327
clerk|293
good|1193
novo|7466
cadastre|323
finalize|303
initial|455
suggest|587
collection|2361
assembler|291
gif|488
table|18970
vertical|5083
middle|1328
kids|6261
look|8747
book|530
pearl|736
varnish|813
knit|659
featured|19754
mars|5551
ankle|2060
knee|926
sandal|4412
casual|3656
jeans|2160
coat|1143
legging|1186
vest|406
cardigan|379
accessory|7873
leather|1776
transversal|900
mall|1016
bag|1697
democrat|4486
west|4345
